well,fit_error_occured,term,estimate,std.error,statistic,p.value,conf.low,conf.high,est_error_occured,mu_type
A_1_Mu_0.6_Lag_6,FALSE,C,0.0021070480597427067,0.0029198539855451143,0.7216278862483382,0.47233370096215566,-0.003691711922957126,0.007899429800514914,FALSE,other
A_1_Mu_0.6_Lag_8,FALSE,A,0.9972924728013632,0.0028745603035882695,346.9373982366828,1.556686656047819e-146,0.9915843805955448,1.0030047293337276,FALSE,other
A_1_Mu_0.6_Lag_8,FALSE,Mu,0.5840924835458458,0.013597984409703398,42.95434278693853,3.9691597792726737e-63,0.5579496998309433,0.6121593556400273,FALSE,Mu_a
A_1_Mu_0.6_Lag_8,FALSE,Lag,7.974276919057314,0.02264700972003062,352.1116923442788,3.9329973387512224e-147,7.928692089714379,8.019088574044053,FALSE,other
A_1_Mu_0.6_Lag_8,FALSE,C,0.0029125716882567165,0.0025974615389947144,1.1213146545315,0.26504097147134265,-0.002249118889994628,0.008070293214118743,FALSE,other
A_1_Mu_0.6_Lag_10,FALSE,A,1.00305796756434,0.0027508849591475425,364.6310123688969,1.5297869002958313e-148,0.9975951009763542,1.0085241399241132,FALSE,other
A_1_Mu_0.6_Lag_10,FALSE,Mu,0.581591649436667,0.013940714653438416,41.71892646071914,5.246006422189233e-62,0.5543539704616942,0.6108962207619574,FALSE,Mu_a
A_1_Mu_0.6_Lag_10,FALSE,Lag,9.971585075935188,0.023400300250135474,426.13064658764193,7.821310196198628e-155,9.924202544640018,10.017989828767787,FALSE,other
A_1_Mu_0.6_Lag_10,FALSE,C,-0.0023987850017417223,0.0024178628781173434,-0.9921096119435541,0.32371836966776657,-0.007200908228496061,0.0024004359483837797,FALSE,other
A_1_Mu_0.7_Lag_2,FALSE,A,1.0002093743790712,0.004596555736697758,217.5997489584752,1.0222317471322435e-127,0.9911179791907431,1.0093363668896855,FALSE,other
A_1_Mu_0.7_Lag_2,FALSE,Mu,0.7089307502223364,0.015991731060249127,44.33108257957987,2.4165723972139324e-64,0.678382071459388,0.7417886739524887,FALSE,Mu_a
A_1_Mu_0.7_Lag_2,FALSE,Lag,2.027223525586804,0.019448313420460363,104.23646934104261,4.025774797290488e-98,1.98870548441501,2.065186672114215,FALSE,other
A_1_Mu_0.7_Lag_2,FALSE,C,-4.994504670027532e-4,0.004475215546321811,-0.11160366731681842,0.911378183403429,-0.009386092004869374,0.008351266573696215,FALSE,other
A_1_Mu_0.7_Lag_4,FALSE,A,1.0012548078817047,0.0035896976442816183,278.92455217689485,9.92770515034413e-138,0.9941221211867193,1.0083979963917353,FALSE,other
A_1_Mu_0.7_Lag_4,FALSE,Mu,0.7004125544195924,0.016596691450832615,42.20193865111919,1.8966090868417606e-62,0.6685006568996299,0.7348678309590678,FALSE,Mu_a
A_1_Mu_0.7_Lag_4,FALSE,Lag,3.9911103460295405,0.019773009073057832,201.84638217092206,1.0926414989829142e-124,3.951120539800925,4.030602588197447,FALSE,other
A_1_Mu_0.7_Lag_4,FALSE,C,-0.0021017195225378513,0.003415548894538321,-0.615338731030504,0.5398339309916809,-0.008898730465781544,0.004684548874968956,FALSE,other
A_1_Mu_0.7_Lag_6,FALSE,A,0.9982386363942095,0.0026024560577936474,383.57559713823275,1.3810884671927257e-150,0.9930720955230126,1.003408773395224,FALSE,other
A_1_Mu_0.7_Lag_6,FALSE,Mu,0.6928423222421217,0.0141626124074076,48.920517084809724,3.685737114094529e-68,0.6656938604281105,0.7217881387528304,FALSE,Mu_a
A_1_Mu_0.7_Lag_6,FALSE,Lag,5.98394764324328,0.016894058280861074,354.20427370150423,2.267663047137007e-147,5.950201212556064,6.017274001689143,FALSE,other
A_1_Mu_0.7_Lag_6,FALSE,C,0.0015068449174950682,0.002416264749834451,0.6236257502818384,0.5343999835651848,-0.0032939177022142576,0.006303975455113075,FALSE,other
A_1_Mu_0.7_Lag_8,FALSE,A,0.9932123124498362,0.0027605692719674664,359.78532490944184,5.3039189140287325e-148,0.9877300680125217,0.9986972922592521,FALSE,other
A_1_Mu_0.7_Lag_8,FALSE,Mu,0.7036459987465835,0.01752517506570579,40.150583153004625,1.5377974314091805e-60,0.6694684322977473,0.7407043381012705,FALSE,Mu_a
A_1_Mu_0.7_Lag_8,FALSE,Lag,8.02089585773688,0.019977479689588698,401.4968846103738,1.9816214896450596e-152,7.98044720240636,8.060665005990913,FALSE,other
A_1_Mu_0.7_Lag_8,FALSE,C,0.004165571310665412,0.0024966979925201893,1.6684321945004836,0.0985935159194237,-7.932999173688194e-4,0.009121755914052749,FALSE,other
A_1_Mu_0.7_Lag_10,FALSE,A,1.0029193775922942,0.0022959353051797806,436.82388407445205,7.811936627378749e-156,0.998363885636982,1.0074764611865252,FALSE,other
